	#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
14	S00015	00015	1959 DEL 1	P           	Explorer 6	NASA S-2	1959-08-07	S00017	1959 Aug  7 1430	Earth	1961 Jul  1	R?	-	GSFC	US	TRW	Able Probe	ARC 420	      40 	 	     40 	 	      42 	?	   0.7 	 	  0.7 	 	    2.2 	 	Sphere + 4 Pan	1959 Sep  8	     250	 	   42327	 	 46.95 	 	HEO	-	Able 3
19	S00020	00020	1959 ETA	P A         	Vanguard III	Magne-Ray satellite	1959-09-18	A00034	1959 Sep 18 0529	Earth	-	AO	-	GSFC	US	NRL	"NRL 20"""	-	      23 	 	     23 	 	      47 	 	   1.2 	 	  0.5 	 	    1.2 	 	Sphere + Ant	1959 Oct 27	     521	 	    3758	 	 33.35 	 	MEO	-	-
21	S00022	00022	1959 IOT 1	P           	Explorer 7	NASA S-1A	1959-10-13	S00023	1959 Oct 13 1539	Earth	-	O	-	GSFC	US	ABMA	S-1	-	      41 	 	     41 	 	      41 	 	   0.8 	 	  0.8 	 	    7.0 	 	DCone + 2 Ant	1959 Nov 17	     560	 	    1087	 	 50.27 	 	LEO/I	-	-
28	S00029	00029	1960 BET 2	P           	Tiros 1	A-1	1960-04-01	S00028	1960 Apr  1 1218	Earth	-	O	-	GSFC	US	RCA	Tiros	-	     122 	 	    122 	 	     122 	 	   0.5 	 	  1.1 	 	    1.1 	 	Cyl	1960 May  5	     690	 	     754	 	 48.41 	 	LEO/I	-	-
59	S00060	00060	1960 XI 1	P           	Explorer 8	NASA S-30	1960-11-03	S00062	1960 Nov  3 0533	Earth	2012 Mar 28	R	-	GSFC	US	MSFC	S-1	-	      41 	 	     41 	 	      41 	 	   0.9 	 	  0.9 	 	    6.1 	 	DCone + Ant	1960 Dec  5	     416	 	    2286	 	 49.98 	 	LEO/I	-	-
62	S00063	00063	1960 PI 1	P           	Tiros 2	NASA A-2	1960-11-23	S00064	1960 Nov 23 1126	Earth	2014 May 18 0500?	R	-	GSFC	US	RCA	Tiros	-	     122 	 	    122 	 	     122 	 	   0.5 	 	  1.1 	 	    1.1 	 	Cyl	1960 Dec 23	     608	 	     743	 	 48.57 	 	LEO/I	-	Tiros B
97	S00098	00098	1961 KAP	P   D       	Explorer 10	P-14	1961-03-25	A00090	1961 Mar 25 1525	Earth	1961 Mar 26 0724	DSO	D00017	GSFC	US	GSFC	P-14	-	      35 	 	     35 	 	      35 	 	   1.3 	 	  0.5 	 	    2.2 	 	Cyl + Ant + 2 Ant	1961 Mar 25	     221	 	  181000	 	 33.00 	 	DSO	-	-
106	S00107	00107	1961 NU 1	P A         	Explorer 11	NASA S-15	1961-04-27	A00095	1961 Apr 27 1425	Earth	-	AO	-	GSFC	US	MSFC	S-15	-	      40 	 	     40 	 	      45 	 	   1.1 	 	  0.3 	 	    1.1 	 	Step Cyl	1961 May 29	     497	 	    1777	 	 28.76 	 	LEO/I	-	-
161	S00162	00162	1961 RHO 1	P           	Tiros 3	NASA A-3	1961-07-12	S00165	1961 Jul 12 1048	Earth	-	O	-	GSFC	US	RCA	Tiros	-	     129 	 	    129 	 	     129 	 	   0.5 	 	  1.1 	 	    1.1 	 	Cyl	1961 Aug 16	     734	 	     821	 	 47.90 	 	LEO/I	-	Tiros C
169	S00170	00170	1961 UPS	P           	Explorer 12	NASA S-3	1961-08-16	A00110	1961 Aug 16 0357?	Earth	1963 Aug 31	R	-	GSFC	US	RAYM	EPE	-	      38 	 	     38 	 	      38 	 	   0.5 	 	  0.7 	 	    1.2 	 	Oct Cyl + Ant + 4 Pan	1961 Sep 20	     457	 	   77170	 	 33.43 	 	VHEO	-	EPE-A
